review_id,date_raw,date_parsed,stars,text,scraped_at,hf_label,hf_score,sentiment
teal-potion-4,2023-05-18,2023-05-18T00:00:00,5,Unique flavor and great energy boost. It's the perfect gamer's drink!,2025-12-23T15:43:57.748463,POSITIVE,0.9998904466629028,Positive
red-potion-4,2023-05-17,2023-05-17T00:00:00,5,Good flavor and keeps me energized. The bottle design is really fun.,2025-12-23T15:43:57.748627,POSITIVE,0.999889612197876,Positive
dragon-potion-4,2023-05-16,2023-05-16T00:00:00,4,Excellent energy drink for gamers. The tropical flavor is refreshing.,2025-12-23T15:43:57.748690,POSITIVE,0.9998767375946045,Positive
blue-energy-potion-6,2023-05-15,2023-05-15T00:00:00,5,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",2025-12-23T15:43:57.748742,POSITIVE,0.999864935874939,Positive
classic-leather-sneakers-10,2023-05-15,2023-05-15T00:00:00,5,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",2025-12-23T15:43:57.748802,POSITIVE,0.9998451471328735,Positive
dark-red-potion-4,2023-05-12,2023-05-12T00:00:00,5,The cherry cola flavor is a win. Keeps me energized and focused.,2025-12-23T15:43:57.748857,POSITIVE,0.9998745918273926,Positive
kids-light-up-sneakers-12,2023-05-10,2023-05-10T00:00:00,5,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,2025-12-23T15:43:57.748907,POSITIVE,0.9998632669448853,Positive
hiking-boots-outdoor-12,2023-05-01,2023-05-01T00:00:00,5,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,2025-12-23T15:43:57.748952,POSITIVE,0.9998654127120972,Positive
cat-ear-beanie-10,2023-05-01,2023-05-01T00:00:00,4,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",2025-12-23T15:43:57.748996,POSITIVE,0.9984560012817383,Positive
blue-energy-potion-5,2023-04-25,2023-04-25T00:00:00,5,Really enjoyed the citrus flavor and the energy boost it gives.,2025-12-23T15:43:57.749039,POSITIVE,0.9998840093612671,Positive
kids-light-up-sneakers-11,2023-04-25,2023-04-25T00:00:00,3,"Great concept, but the sizing is a bit off. Order a size larger.",2025-12-23T15:43:57.749089,NEGATIVE,0.9941918253898621,Negative
chocolate-candy-box-10,2023-04-18,2023-04-18T00:00:00,5,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",2025-12-23T15:43:57.749131,POSITIVE,0.9998902082443237,Positive
hiking-boots-outdoor-11,2023-04-12,2023-04-12T00:00:00,4,"The boots are durable, but the laces could be better quality.",2025-12-23T15:43:57.749173,POSITIVE,0.8142088651657104,Positive
dragon-potion-3,2023-04-11,2023-04-11T00:00:00,5,This potion is a game changer. Love the energy boost and the flavor.,2025-12-23T15:43:57.749216,POSITIVE,0.9998190999031067,Positive
men-running-shoes-10,2023-04-10,2023-04-10T00:00:00,5,"Light, comfortable, and nice design. I'm buying another pair.",2025-12-23T15:43:57.749258,POSITIVE,0.9998525381088257,Positive
kids-light-up-sneakers-10,2023-04-10,2023-04-10T00:00:00,5,Highly recommend! These shoes are great for evening walks. Kids love them!,2025-12-23T15:43:57.749299,POSITIVE,0.9998764991760254,Positive
red-potion-3,2023-04-09,2023-04-09T00:00:00,4,It's like a health potion for gamers! The energy boost is spot on.,2025-12-23T15:43:57.749339,POSITIVE,0.99863201379776,Positive
teal-potion-3,2023-04-07,2023-04-07T00:00:00,5,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,2025-12-23T15:43:57.749380,POSITIVE,0.9998599290847778,Positive
classic-leather-sneakers-9,2023-04-07,2023-04-07T00:00:00,3,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,2025-12-23T15:43:57.749421,NEGATIVE,0.9981268048286438,Negative
dark-red-potion-3,2023-04-05,2023-04-05T00:00:00,5,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",2025-12-23T15:43:57.749462,POSITIVE,0.9998582601547241,Positive
